fname,label
aat (1).wav,aat
aat (10).wav,aat
aat (11).wav,aat
aat (12).wav,aat
aat (13).wav,aat
aat (14).wav,aat
aat (15).wav,aat
aat (16).wav,aat
aat (17).wav,aat
aat (18).wav,aat
aat (19).wav,aat
aat (2).wav,aat
aat (20).wav,aat
aat (21).wav,aat
aat (22).wav,aat
aat (23).wav,aat
aat (24).wav,aat
aat (25).wav,aat
aat (26).wav,aat
aat (27).wav,aat
aat (28).wav,aat
aat (29).wav,aat
aat (3).wav,aat
aat (30).wav,aat
aat (31).wav,aat
aat (32).wav,aat
aat (33).wav,aat
aat (34).wav,aat
aat (35).wav,aat
aat (36).wav,aat
aat (37).wav,aat
aat (38).wav,aat
aat (39).wav,aat
aat (4).wav,aat
aat (40).wav,aat
aat (41).wav,aat
aat (42).wav,aat
aat (43).wav,aat
aat (44).wav,aat
aat (45).wav,aat
aat (46).wav,aat
aat (47).wav,aat
aat (48).wav,aat
aat (49).wav,aat
aat (5).wav,aat
aat (50).wav,aat
aat (51).wav,aat
aat (52).wav,aat
aat (53).wav,aat
aat (54).wav,aat
aat (55).wav,aat
aat (56).wav,aat
aat (57).wav,aat
aat (58).wav,aat
aat (59).wav,aat
aat (6).wav,aat
aat (60).wav,aat
aat (61).wav,aat
aat (62).wav,aat
aat (63).wav,aat
aat (64).wav,aat
aat (65).wav,aat
aat (66).wav,aat
aat (67).wav,aat
aat (68).wav,aat
aat (69).wav,aat
aat (7).wav,aat
aat (70).wav,aat
aat (71).wav,aat
aat (72).wav,aat
aat (73).wav,aat
aat (74).wav,aat
aat (75).wav,aat
aat (76).wav,aat
aat (77).wav,aat
aat (78).wav,aat
aat (79).wav,aat
aat (8).wav,aat
aat (80).wav,aat
aat (81).wav,aat
aat (82).wav,aat
aat (83).wav,aat
aat (84).wav,aat
aat (85).wav,aat
aat (86).wav,aat
aat (87).wav,aat
aat (88).wav,aat
aat (89).wav,aat
aat (9).wav,aat
aat (90).wav,aat
aat (91).wav,aat
aat (92).wav,aat
aat (93).wav,aat
aat (94).wav,aat
aat (95).wav,aat
aat (96).wav,aat
aat (97).wav,aat
agerta (1).wav,agerta
agerta (100).wav,agerta
agerta (101).wav,agerta
agerta (102).wav,agerta
agerta (103).wav,agerta
agerta (104).wav,agerta
agerta (105).wav,agerta
agerta (106).wav,agerta
agerta (107).wav,agerta
agerta (108).wav,agerta
agerta (109).wav,agerta
agerta (110).wav,agerta
agerta (111).wav,agerta
agerta (112).wav,agerta
agerta (113).wav,agerta
agerta (114).wav,agerta
agerta (115).wav,agerta
agerta (116).wav,agerta
agerta (117).wav,agerta
agerta (118).wav,agerta
agerta (119).wav,agerta
agerta (120).wav,agerta
agerta (121).wav,agerta
agerta (122).wav,agerta
agerta (123).wav,agerta
agerta (124).wav,agerta
agerta (125).wav,agerta
agerta (126).wav,agerta
agerta (127).wav,agerta
agerta (128).wav,agerta
agerta (129).wav,agerta
agerta (130).wav,agerta
agerta (131).wav,agerta
agerta (132).wav,agerta
agerta (133).wav,agerta
agerta (134).wav,agerta
agerta (135).wav,agerta
agerta (136).wav,agerta
agerta (137).wav,agerta
agerta (138).wav,agerta
agerta (139).wav,agerta
agerta (140).wav,agerta
agerta (141).wav,agerta
agerta (142).wav,agerta
agerta (143).wav,agerta
agerta (144).wav,agerta
agerta (145).wav,agerta
agerta (146).wav,agerta
agerta (147).wav,agerta
agerta (148).wav,agerta
agerta (149).wav,agerta
agerta (150).wav,agerta
agerta (151).wav,agerta
agerta (152).wav,agerta
agerta (153).wav,agerta
agerta (154).wav,agerta
agerta (155).wav,agerta
agerta (156).wav,agerta
agerta (157).wav,agerta
agerta (158).wav,agerta
agerta (159).wav,agerta
agerta (160).wav,agerta
agerta (161).wav,agerta
agerta (162).wav,agerta
agerta (163).wav,agerta
agerta (164).wav,agerta
agerta (165).wav,agerta
agerta (166).wav,agerta
agerta (167).wav,agerta
agerta (168).wav,agerta
agerta (169).wav,agerta
agerta (170).wav,agerta
agerta (171).wav,agerta
agerta (172).wav,agerta
agerta (173).wav,agerta
agerta (174).wav,agerta
agerta (175).wav,agerta
agerta (176).wav,agerta
agerta (177).wav,agerta
agerta (178).wav,agerta
agerta (179).wav,agerta
agerta (180).wav,agerta
agerta (181).wav,agerta
agerta (86).wav,agerta
agerta (87).wav,agerta
agerta (88).wav,agerta
agerta (89).wav,agerta
agerta (90).wav,agerta
agerta (91).wav,agerta
agerta (92).wav,agerta
agerta (93).wav,agerta
agerta (94).wav,agerta
agerta (95).wav,agerta
agerta (96).wav,agerta
agerta (97).wav,agerta
agerta (98).wav,agerta
agerta (99).wav,agerta
aso (1).wav,aso
aso (100).wav,aso
aso (101).wav,aso
aso (102).wav,aso
aso (103).wav,aso
aso (104).wav,aso
aso (105).wav,aso
aso (106).wav,aso
aso (107).wav,aso
aso (108).wav,aso
aso (109).wav,aso
aso (110).wav,aso
aso (111).wav,aso
aso (112).wav,aso
aso (113).wav,aso
aso (114).wav,aso
aso (115).wav,aso
aso (116).wav,aso
aso (117).wav,aso
aso (118).wav,aso
aso (119).wav,aso
aso (120).wav,aso
aso (121).wav,aso
aso (122).wav,aso
aso (123).wav,aso
aso (124).wav,aso
aso (125).wav,aso
aso (126).wav,aso
aso (127).wav,aso
aso (128).wav,aso
aso (129).wav,aso
aso (130).wav,aso
aso (131).wav,aso
aso (132).wav,aso
aso (133).wav,aso
aso (134).wav,aso
aso (135).wav,aso
aso (136).wav,aso
aso (137).wav,aso
aso (138).wav,aso
aso (139).wav,aso
aso (140).wav,aso
aso (141).wav,aso
aso (142).wav,aso
aso (143).wav,aso
aso (144).wav,aso
aso (145).wav,aso
aso (146).wav,aso
aso (148).wav,aso
aso (149).wav,aso
aso (150).wav,aso
aso (151).wav,aso
aso (152).wav,aso
aso (153).wav,aso
aso (154).wav,aso
aso (155).wav,aso
aso (156).wav,aso
aso (157).wav,aso
aso (158).wav,aso
aso (159).wav,aso
aso (160).wav,aso
aso (161).wav,aso
aso (162).wav,aso
aso (163).wav,aso
aso (164).wav,aso
aso (165).wav,aso
aso (166).wav,aso
aso (167).wav,aso
aso (168).wav,aso
aso (169).wav,aso
aso (170).wav,aso
aso (171).wav,aso
aso (172).wav,aso
aso (173).wav,aso
aso (174).wav,aso
aso (175).wav,aso
aso (176).wav,aso
aso (177).wav,aso
aso (178).wav,aso
aso (179).wav,aso
aso (180).wav,aso
aso (181).wav,aso
aso (86).wav,aso
aso (87).wav,aso
aso (88).wav,aso
aso (89).wav,aso
aso (90).wav,aso
aso (91).wav,aso
aso (92).wav,aso
aso (93).wav,aso
aso (94).wav,aso
aso (95).wav,aso
aso (96).wav,aso
aso (97).wav,aso
aso (98).wav,aso
aso (99).wav,aso
baba (1).wav,baba
baba (100).wav,baba
baba (101).wav,baba
